Information Resource, URL, Family Member Last Name, Family Member First Name, Recording Title, Author, Publication Date
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=20&bibId=3108263 , Batiste, Russell, Rhythm & rhymes. Part one [sound recording] / Leo Nocentelli., Nocentelli  Leo., 2009
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=21&bibId=2771758 , Batiste, Russell, Moodoo [sound recording] / Porter Batiste Stoltz., Porter Batiste Stoltz (Musical group), 2008
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=22&bibId=2466006 , Batiste, Lionel, New Orleans music! [sound recording] / the Treme Brass Band., Treme Brass Band., 2008
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=23&bibId=2993663 , Batiste, Lionel, A New Orleans visit before Katrina [sound recording]., Doucet  Michael., 2008
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=23&bibId=2993663 , Batiste, Lionel Sr., A New Orleans visit before Katrina [sound recording]., Doucet  Michael., 2008
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=24&bibId=2787571 , Batiste, Russell, Porter Batiste Stoltz [sound recording]., Porter Batiste Stoltz (Musical group), 2008
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=24&bibId=2787571 , Batiste, Russell Jr., Porter Batiste Stoltz [sound recording]., Porter Batiste Stoltz (Musical group), 2008
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=25&bibId=2787570 , Batiste, Russell, Cervantes' Masterpiece Ballroom [sound recording] / Bonerama & Porter Batiste Stoltz., Porter Batiste Stoltz (Musical group), 2007
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=25&bibId=2787570 , Batiste, Russell Jr., Cervantes' Masterpiece Ballroom [sound recording] / Bonerama & Porter Batiste Stoltz., Porter Batiste Stoltz (Musical group), 2007
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=26&bibId=2466007 , Batiste, Alvin, Marsalis Music honors Alvin Batiste [sound recording]., Batiste  Alvin., 2007
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=28&bibId=2366855 , Batiste, Jonathan, Untouchable [sound recording] / Adonis Rose & the N. O. Vaders., Adonis Rose & the N. O. Vaders (Musical group), 2007
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=29&bibId=2585283 , Batiste, N/A, New adventures [sound recording] / Victor Goines., Goines  Victor., 2006
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=30&bibId=3394734 , Batiste, Jonathan, WWOZ on CD. The rebirth [sound recording]., Goines  Victor., 2006
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=31&bibId=2242274 , Batiste, Jonathan, Orleans & Claiborne [sound recording] / Troy "Trombone Shorty" Andrews & Orleans Avenue., Andrews  Troy., 2005
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=32&bibId=2311894 , Batiste, Terrell Burger, Rock with the Hot 8 [sound recording]., Hot 8 Brass Band., 2005
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=33&bibId=2217576 , Batiste, Lionel, Uncle Lionel [sound recording]., Batiste  Lionel  1932-2012., 2005
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=34&bibId=2282963 , Batiste, Damon, 12 & Shorty [sound recording] / James and Troy Andrews., Andrews  James (Trumpet player), 2004
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=35&bibId=2881399 , Batiste, Russell, The clinic [sound recording] / Russell Batiste Jr.  Orkestra from da Hood., Orkestra from da Hood., 2003
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=35&bibId=2881399 , Batiste, David Russell, The clinic [sound recording] / Russell Batiste Jr.  Orkestra from da Hood., Orkestra from da Hood., 2003
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=35&bibId=2881399 , Batiste, Russell Jr., The clinic [sound recording] / Russell Batiste Jr.  Orkestra from da Hood., Orkestra from da Hood., 2003
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=35&bibId=2881399 , Batiste, Damon, The clinic [sound recording] / Russell Batiste Jr.  Orkestra from da Hood., Orkestra from da Hood., 2003
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=36&bibId=3358284 , Batiste, Milton, Gentle giant [sound recording] / Milton Batiste., Orkestra from da Hood., 2003
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=37&bibId=3108307 , Batiste, Russell, The grease factor [sound recording] / Shane Theriot., Theriot  Shane., 2003
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=38&bibId=2423342 , Batiste, Russell, Shakin' [sound recording] / Papa Grows Funk., Papa Grows Funk (Musical group), 2003
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=38&bibId=2423342 , Batiste, David Russell, Shakin' [sound recording] / Papa Grows Funk., Papa Grows Funk (Musical group), 2003
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=39&bibId=2282701 , Batiste, Lionel, Back to my roots [sound recording] / Leroy Jones., Jones  Leroy (Trumpet player), 2002
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=39&bibId=2282701 , Batiste, Lionel Sr., Back to my roots [sound recording] / Leroy Jones., Jones  Leroy (Trumpet player), 2002
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=40&bibId=3358258 , Batiste, Milton, Street music [sound recording] / Tuba Fats' Chosen Few., Jones  Leroy (Trumpet player), 2002
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=41&bibId=3414381 , Batiste, Norman, Doreen's Jazz New Orleans. Volume XII  Jackson Square jam! [sound recording]., Doreen's Jazz New Orleans., 2001
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=42&bibId=1977093 , Batiste, Milton, The great Olympia Band / by Mick Burns., Burns  Mick  1942-2007., 2001
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=43&bibId=2235084 , Batiste, David, Saturday night fish fry [sound recording] : New Orleans funk and soul., Burns  Mick  1942-2007., 2001
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=44&bibId=2249279 , Batiste, Alvin, WWOZ on CD. A funky miracle [sound recording]., Burns  Mick  1942-2007., 2000
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=45&bibId=2331603 , Batiste, Damon, Buck jump [sound recording] / The Dirty Dozen Brass Band., Dirty Dozen Brass Band., 1999
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=46&bibId=3108436 , Batiste, Edith, Songs  words and messages connections [sound recording] / Alvin Batiste., Batiste  Alvin., 1999
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=46&bibId=3108436 , Batiste, Maynard Keith, Songs  words and messages connections [sound recording] / Alvin Batiste., Batiste  Alvin., 1999
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=46&bibId=3108436 , Batiste, Keith, Songs  words and messages connections [sound recording] / Alvin Batiste., Batiste  Alvin., 1999
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=46&bibId=3108436 , Batiste, Alvin, Songs  words and messages connections [sound recording] / Alvin Batiste., Batiste  Alvin., 1999
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=47&bibId=2207637 , Batiste, Lawrence, Doin' the Riverwalk [sound recording] / The Riverwalk Jazz Band., Riverwalk Jazz Band., 1995
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=48&bibId=2216642 , Batiste, Lionel, Gimme my money back! [sound recording] / the Tremè Brass Band., Treme Brass Band., 1995
Hogan Jazz Archives, http://voyager.tcs.tulane.edu/vwebv/holdingsInfo?searchId=453&recCount=50&recPointer=49&bibId=2286626 , Batiste, Alvin, Boogie live-- 1958 [sound recording] / featuring Ed Blackwell and AJQ-2., Blackwell  Ed., 1994
